,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIagriIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIaviaIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIshipIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmItranIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIinduIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp40-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp30-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp20-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp10-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIheatIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-dmIelecIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc
Transmission lines,9.026724644883931,9.026213579849312,9.02554727238614,9.026016525837623,9.026105926163785,9.02017093273793,9.027627263988023,9.03129298606314,9.029313177854213,9.026764210195623,9.027555425264483,9.029698467016933,9.030520591053367,9.026828257755861,9.026112804941842,9.03392317975712,9.033844523929979,9.031300298018103,9.029534096958853,9.027269910936575,8.984420820980937,8.994549890436364,9.009212925014708,9.023781649956454,9.026482550518445,9.01192077343258,9.020851624782493,9.02108772668312,9.025903725970382,9.025730212689655,9.02020656974671,9.023023909350725,9.022889872920809,9.025452758109358,9.025567213561644,9.026547818189195
Electricity distribution grid,50.128336675703224,50.24339538212461,50.33886752489129,50.41002639746382,50.446805088164886,49.985986823426444,49.826997149357226,50.0491732844829,50.35644670467991,50.46166900479628,49.821277356262605,49.99030098737366,50.19021253220242,50.37791048410641,50.471363963405814,47.28138458683186,47.99607526533679,48.73298117403103,49.64239083832361,50.10747084427857,44.35836725085373,45.93837239810372,47.3735807134373,48.84121633509045,49.66794821019973,40.88725901961715,43.19460215539853,45.64011752706334,48.248097642300436,49.376966659098535,45.84717547552819,47.03420947221263,48.20727957949341,49.3699925856852,49.933770245392594,50.49506317231279
Oil and gas to power/heat,71.32798618265542,71.32761063249288,71.34175934045916,71.35545783217364,71.36786701446226,71.70084844730286,71.68907429730803,71.62098869475867,71.51072205709013,71.44274740612532,71.88734561320794,71.75777511081594,71.64239126491177,71.53315776169332,71.43294049567619,70.0335219916615,70.35301615299105,70.70054356311473,71.04048832404405,71.21059139972333,72.88180815048788,72.07057628016281,71.44995874643627,71.20610508509165,71.30198356659685,65.69522766950917,66.68080106095181,68.26254773681157,69.80553245538565,70.56256744156559,72.37662967714849,70.0017090561851,70.45512882375102,70.91737093223931,71.14279477086149,71.37676751210806
Power to liquid,23.139181683360967,23.25308117939388,23.37504900435246,23.508688610171497,23.577425990814625,20.05975954584795,21.146548521152827,21.96729270113475,22.75457408643586,23.179318751010335,22.065958094563204,22.463818277447473,22.822074416117857,23.195656838968652,23.398902055658755,23.177615618640218,23.29728818693421,23.41431584077175,23.53062696120915,23.58672888031648,18.96500135438042,20.19368926202021,21.432081046443816,22.65230885767964,23.129480936386123,20.964948420637974,21.522348424493508,22.174612922187936,22.916581847108546,23.262722680682476,23.025832649168432,23.17235567894871,23.318981237949693,23.483304028274866,23.566926778263973,23.644360847501083
Biomass,51.563758729709534,51.572745653193806,51.58727807199709,51.591713669365376,51.59478732945588,50.04264007270095,51.11453644500905,51.3691988493406,51.50341066952596,51.555470829799035,51.38903075659406,51.461592923564936,51.51391082737164,51.56404561240233,51.584350204313296,51.761840286807015,51.738079355571756,51.685386305447096,51.64396723298352,51.617881035455625,59.614521354433485,58.10440672206119,56.484524608302955,54.51782692297387,53.18505617338771,50.09405146701798,51.09971380248118,51.11101750248896,51.49903058468778,51.57736180298036,51.85172832702233,51.80347721125932,51.76573578127659,51.68454735252756,51.63654612617489,51.5983297957468
BEV charger,0.013948831205428483,0.014051084728556491,0.01377445555054064,0.014055906505664583,0.013938263072549006,0.013723020977154254,0.013917593404358858,0.013633195729065186,0.013932068088918306,0.013774109511790446,0.013304738212089731,0.013758784114278362,0.014042222948232529,0.013327389863859805,0.013332107108722163,0.010380699985525751,0.010699990042001175,0.011555650705762794,0.013012526091939381,0.013483576860123907,0.013580899503273918,0.013778995019714455,0.013230899271171112,0.013523338665071775,0.013308469922237961,0.013521773658048866,0.013391240164871494,0.013210648837203067,0.013991654098182803,0.013623606932342458,0.01369716805752956,0.013976637177970425,0.013719166073264176,0.013932260358820394,0.013764725415694158,0.014056392136615477
V2G,0.0019447167607294091,0.0020199018765023357,0.00198415740051262,0.0020240581252488473,0.002004741610946755,0.0019389870713781873,0.001917546857299628,0.0019527233309949521,0.001999362459375119,0.001983850083796623,0.00198179149137109,0.001970480843472315,0.0020121464542184582,0.0020035856160698835,0.002008009744307751,0.0029520930098216012,0.0026647392547107652,0.002425641279355018,0.0021501779013584185,0.0020500086649743814,0.0018099689935758383,0.0018622926728102812,0.0019089303802709342,0.001967000709560694,0.0019850762483329828,0.0017581240203363637,0.0018488062366885864,0.001892608139997425,0.001967143714263419,0.0019437972059810607,0.0019150457659431787,0.00195501365577201,0.0019540936499405463,0.0019303591086397304,0.001975413808967918,0.0020244904252614063
DAC,3.3284282456036514,3.5466437576749086,3.7814331124112126,4.033048587843883,4.161961347377562,1.0716610196824359e-05,8.964670670855808e-08,1.0124187373706113,2.561102488927747,3.393762145460126,0.015025178047149966,1.090543200676943,2.085860473813448,3.1141667803703275,3.668506271727785,3.465360079254446,3.677289087001365,3.881781563750589,4.08725945164861,4.181047040920042,4.638867720852449,3.9532021012516987,3.851834940353487,3.5192531192219345,3.8527552784266623,2.9920437866557687e-07,0.4840677525444011,1.5751556467387178,2.850487612745642,3.5336988776081353,3.3009648770895894,3.5259165295764783,3.748372571975556,4.013745649534764,4.155218389576774,4.284845293321943
Power to heat,102.37889235770966,102.87140092401087,103.31700167972356,103.75841456923283,103.96367932120563,102.50767354256513,102.10282470752362,102.87085084040274,103.62275796518006,103.91657693770591,102.23591495959873,102.6431307990121,103.23716730663696,103.78654683597134,104.01863915000725,105.0031456742396,104.8229819970131,104.68396903727988,104.45609367989725,104.29478943050825,101.04432603788031,101.4752012899202,101.89113920431723,102.63562609263288,103.54320342260954,57.17287905371583,68.95310745329921,80.51829682996963,92.1172269256936,98.2074308326859,105.11030440268551,104.77628816225668,104.68208576283286,104.51080238642376,104.3351280111669,104.16839693706659
Heat storage,21.654640633502304,21.751482490969654,21.823329803224237,21.870495634439077,21.89457543623807,19.72647252251418,20.05750487985468,20.817525725016022,21.478653934912,21.786016532645775,20.7252088966445,20.899829206015887,21.281435507908267,21.733391195974868,21.8783166551194,21.343037471874563,21.464749618684973,21.608635265142322,21.776154947332937,21.86084318243544,16.869695510819863,17.962780776493062,19.197655230811808,20.386784510621393,21.141463890618677,11.741935818122027,14.3858317513884,17.219627132998195,19.351755075959993,20.690604354874473,21.02621271932667,21.213716616970316,21.426826085199995,21.66519509161275,21.809501198249826,21.920645467822258
H2 storage,3.709167714211161,3.7310323629786364,3.7432062902543928,3.763298610921041,3.770126642526397,3.2424607783731827,3.379317163879168,3.5142137264131144,3.6511495685553457,3.726280064984592,3.6183234786313965,3.673783035665553,3.7275318399296826,3.773520005254274,3.7836797365958876,3.686509658683501,3.7181851508632695,3.737045383405155,3.749193708964299,3.763410705905025,2.83402381538615,3.0690368563176156,3.2343188017573574,3.5150047883971016,3.6872527908404757,3.162472178439242,3.352672864866736,3.475109414679203,3.5781456070647506,3.6848323637011133,3.5775012585412256,3.6363732054110303,3.708388975447901,3.7366151802950185,3.756247495632056,3.780971576310723
H2 Electrolysis,99.80990221173909,100.29473779924616,100.79585226554893,101.3438695718229,101.6149148072807,87.79302073591546,92.16492173569343,95.25685526664137,98.39720268322291,100.08140077846595,93.45776542353933,95.71529406620321,97.75228240366003,99.70038059810378,100.7216574528775,99.62656491624575,100.21651131148857,100.79492272393081,101.32682384256812,101.58428753662663,78.76124765033296,84.6439184437161,90.69213186987804,96.59889573266521,99.16011607786496,90.98613551203853,93.4715616653056,96.2834984308612,99.11300451380004,100.41597850006636,97.97902786512661,99.01932457746943,99.96477060094551,100.94769010991786,101.42966469552019,101.87237479845244
H2 Fuel Cell,1.0895602941930673e-06,5.070988860609478e-07,1.7784594722794528e-06,6.798062663834085e-09,4.491221752760138e-06,2.4188419746752085e-06,1.7074940954785805e-08,2.978656781821639e-06,4.443591700091364e-07,7.869113799059387e-07,4.1674263579459683e-07,2.747105724572257e-06,7.358164261909935e-07,7.485986011893928e-07,5.510031206015057e-06,4.988529322479299e-07,1.8450286242019503e-08,1.8681678668884013e-06,1.3780269493919099e-06,3.7807278224776313e-06,4.109898939000201e-06,1.1800201288912698e-06,2.847580836975927e-07,2.9748524898906425e-06,4.548788435836096e-06,3.583564410368158e-08,4.4210934025700545e-08,3.2480587185160207e-08,2.8107780335418984e-08,7.348712144270519e-07,8.562328712878123e-05,3.9273472398245455e-06,2.854232409282241e-07,6.141893643002072e-07,3.3856022341097887e-06,2.1854978257204262e-06
Pumped hydro storage,10.020520793473382,10.02052083967247,10.0204892822213,10.020485350649617,10.020521641618204,10.02052161138464,10.020517576849352,10.02050029207157,10.02052230138,10.020471398441254,10.020531321147285,10.020470581060282,10.02048444838683,10.020520913225752,10.02052186099909,10.020519176311923,10.02052911017979,10.020519707698583,10.02051983622482,10.020520249737709,10.020461975278138,10.02052543451572,10.02051934618901,10.020471358201098,10.020521515218825,10.020447192980615,10.020441525776123,10.020466241525101,10.020476288334061,10.020467592950077,10.020516273896416,10.020514388124125,10.020520288880187,10.020518648862293,10.020488563339894,10.020521866068977
Hydroelectricity,18.347343405031932,18.347343293326627,18.347330182066166,18.34735372003324,18.347343355844757,18.34741409248663,18.347343383495215,18.34734828603755,18.347343401024172,18.347239927427342,18.3473486443745,18.347239847515358,18.347353713199524,18.347343406522175,18.34734336433984,18.347343221787522,18.34734862903818,18.347343393371855,18.347343406133632,18.347343373424714,18.34723989700196,18.34734843144283,18.347343415251515,18.347239726885096,18.34734336064955,18.34733015525979,18.347239748819195,18.34735380039191,18.347353679761778,18.347239764942184,18.34741339026967,18.347343153669385,18.347414113187966,18.3473433904796,18.347330143191797,18.347343261176555
Run of river,14.259089383794432,14.259079948589989,14.259089390238426,14.259093496317528,14.259087988771661,14.259090261486259,14.259080772266302,14.259088799661566,14.25908963463105,14.25909080104738,14.259080908906329,14.25909607046107,14.259093161974056,14.259080723833812,14.259079634983841,14.259079934050428,14.259081029370995,14.259080206130623,14.259080131905913,14.259079370638446,14.259095381710017,14.259088859583454,14.25908093139702,14.259083761296232,14.259078634028267,14.259089707414516,14.259084439512424,14.259093147784133,14.259093464822143,14.259097200332514,14.259054991683904,14.259078483109215,14.25909323335449,14.259089547147894,14.259088705992893,14.259079506557246
Nuclear,89.36282985700078,89.36375634048211,89.36502185078204,89.36785003631277,89.36932747214296,89.35170940594577,89.35110142492893,89.34070561488504,89.35469321849175,89.3635250125102,89.30878507522337,89.32259295802825,89.33618752711014,89.35606184346075,89.36184712710418,89.39132482601953,89.38350317969548,89.37537532768397,89.37357050046874,89.37129774530004,89.31227768156447,89.3206025324092,89.3303102754003,89.34402228267456,89.35624978588497,89.65779737471485,89.59108129034462,89.52387449420002,89.43043035190684,89.39439788752742,89.38341377155723,89.37731570449363,89.37309583148156,89.3716855880166,89.37373524966112,89.36925944026896
Onshore wind,163.32268822440165,163.83008810246915,164.32139838316928,164.76683931432788,164.98796870014058,155.85678696082826,158.2942013525664,160.7809939960102,163.25140891494948,164.30572442593646,158.77827508533812,160.6916608219498,162.40150913657084,163.8859679580628,164.58279510086038,157.5848295094015,159.46348079873258,161.11998407170384,163.00520749524603,164.14371674435264,137.65520463383822,144.98596990429454,152.28694219490623,159.09751298530557,161.86423924744972,138.5240961326525,143.84539420615724,151.526371626178,158.92816984700485,161.94162154405453,152.06291651079846,156.06279974912388,159.33703934755061,162.06841907006847,163.56220754550296,165.20625419681176
Offshore wind,54.921510146690636,55.01516889708889,55.106580523223876,55.29464846789449,55.40075850070737,52.10377532912095,52.93277334705206,54.13745874645939,54.71962584292076,55.020889179889664,53.48973480809464,53.67144202933646,54.093621521651976,54.71476019697606,55.06423732171214,52.76134104263642,53.67884490462785,54.69339599378542,55.23236400869761,55.37945033329568,46.12297804698471,48.76456455393983,50.65527671027783,53.512480666986875,54.54609870278317,47.52748460276078,49.999467988534114,51.38616080203675,53.63640527254981,54.59033683436455,50.94547132009801,51.75174187281522,52.75254740829075,54.5543003041416,55.18143876873093,55.509583245331044
Home battery storage,6.793914136272487e-06,3.376740822226305e-06,1.0887383629893824e-05,4.4495616504856955e-08,2.7636896577016915e-05,1.5427959413095766e-05,1.0968290001696496e-07,1.852332624610667e-05,2.8763238067749996e-06,5.099953002218302e-06,2.693889041131122e-06,1.7295368949939447e-05,4.824057734215813e-06,4.911806137542593e-06,3.3246541125966274e-05,3.459119645433223e-06,1.2099202114360589e-07,1.1676625081150072e-05,8.753216298991805e-06,2.375193640943546e-05,2.4218028315148604e-05,6.80998477079233e-06,1.7661754098954932e-06,1.8764963324199902e-05,2.7800523968902688e-05,2.3667639587509602e-07,2.86084201577229e-07,2.0950594433367228e-07,1.796879806959632e-07,4.759090652855968e-06,0.0005207126343668108,2.2909486029558563e-05,1.8522880503900463e-06,4.019750308545455e-06,2.1055779142529318e-05,1.3723625998738283e-05
Solar thermal,2.6510143530672082e-06,1.145638702640152e-06,4.581825007813819e-06,1.5547981857071722e-08,1.1521469720573246e-05,5.3853147876485675e-06,3.789303774522939e-08,7.595301295468598e-06,9.99242015490324e-07,1.8396699027883762e-06,9.578322958117027e-07,7.085500272817047e-06,1.6722248048359049e-06,1.6546472667740652e-06,1.2294275941391823e-05,1.1330984615471109e-06,4.360304676466405e-08,5.040801366458858e-06,3.27249070043614e-06,1.0418331561807345e-05,1.0992939317796676e-05,2.5190624410668578e-06,6.546023022177666e-07,6.82563379143304e-06,1.0860272458655387e-05,9.810755337625337e-08,1.1186591876398976e-07,6.406292357296659e-08,7.214543192952692e-08,1.6711675358287144e-06,0.0001892975760329049,9.199784846765045e-06,6.566719683239403e-07,1.4062667864634062e-06,7.978965769883748e-06,5.3580088678708425e-06
Solar utility,26.631234317399446,26.735740462212362,26.754239546782337,26.728740258266527,26.72048577359991,25.65241351864585,25.518290874591568,26.65901655656206,26.77293313453326,26.859625145037235,26.883378826087323,26.891455109011094,27.02297196061164,26.96382509722241,26.860159024335793,23.43088442343326,24.14619989580145,24.94553032819055,25.916135858662606,26.36273907590044,24.771607323744718,25.838251289846745,26.63276175164252,26.609517971256718,26.832490912374883,16.741567459209413,19.407702624059752,21.252686378560888,24.208014022524026,25.574613924013615,24.297589979093356,24.72634982574685,25.22671992746429,26.03854074730475,26.43671194995585,26.731472267948188
Solar rooftop,29.77715672238051,29.820949148555645,29.872988462007914,29.906682536641718,29.927753678631642,29.36496974419125,29.59125776054951,29.878825961665036,29.922688870058288,29.915177674357917,30.070773911225608,30.061044055515342,30.03573840992054,30.00938420725639,29.990058260987272,26.695522493126397,27.618762827457672,28.506733509551964,29.115213581007986,29.39675534803368,28.3120015989269,28.7333909176543,29.304809541341488,29.7532542840878,29.72716133293897,27.137946585573285,28.019572012532464,28.55155683081127,29.084861574154885,29.517807261552957,28.42478279044226,28.818287042634612,29.081147296240562,29.384401979149114,29.62488648053316,29.934870696992107
Battery storage,15.52443914334866,15.663380503948417,15.83602552026879,15.99304142201882,16.084142100055153,14.316659029912833,14.652382163067278,15.038746492326668,15.501974254321961,15.803842905666265,14.404362393316319,14.71827345233414,15.133401876803,15.617334790584414,15.860198607615361,14.309469890707105,14.794261289160472,15.258635696340239,15.734456595910567,15.941182761310898,6.9977440047127315,9.000220984970447,11.273228273602685,13.6932527865259,15.026767482679196,13.54866605957873,14.407320062685521,14.850895788513304,15.318294268247216,15.784467940599166,11.155214524928919,12.261441472665977,13.611964562444488,14.919235347361175,15.546296738180022,16.172065713337382
co2 sequestered,1.9997976719062223,2.0001792734716064,1.9999738227030335,2.000179273469372,2.0000384384540837,2.000242175801705,2.0000660249920292,2.0000640439443416,2.0000384384244287,2.0000916923200798,1.999713234956295,2.000287544154462,2.000179273473789,1.9998421576250363,1.999842157650531,2.000179273471714,1.9997132349541575,1.9998421576349712,2.000066025002569,2.000066025018585,2.000287544165284,1.9999095157637252,1.999842157623395,1.9998702347715813,2.000033666611855,1.9999738226925776,1.9998702347495647,2.00003366658298,2.000179273469554,2.0000640439272472,2.000242176553186,2.0001792734966526,2.0001593428331748,1.999797671902179,1.9999738227164463,2.000179273482133
industry methanol,8.933064305740611e-05,8.56742299533952e-05,8.980434618960984e-05,8.56742299533952e-05,8.837132775911236e-05,8.980434618960984e-05,8.933064305740611e-05,8.832274749423155e-05,8.837132775911236e-05,8.980434618960984e-05,8.979712579890487e-05,8.980434618960984e-05,8.56742299533952e-05,8.979712579890487e-05,8.979712579890487e-05,8.56742299533952e-05,8.979712579890487e-05,8.979712579890487e-05,8.933064305740611e-05,8.933064305740611e-05,5.3882607713773655e-05,6.185992943141457e-05,7.183770063915798e-05,8.189328125453489e-05,8.530726950900705e-05,8.980434618960984e-05,9.099253472717542e-05,8.979712579890487e-05,8.56742299533952e-05,8.832274749423155e-05,8.980434618960984e-05,8.56742299533952e-05,9.168359523839473e-05,8.933064305740611e-05,8.980434618960984e-05,8.56742299533952e-05
kerosene for aviation,0.00748257049863692,0.0068694342719932385,0.007504566498586083,0.0068694342719932385,0.007935409951723411,0.00450273989915523,0.005237799349048522,0.005889041320400587,0.007141868956552017,0.0071293381736617,0.00678018662889682,0.007504566498586083,0.0068694342719932385,0.00678018662889682,0.00678018662889682,0.0068694342719932385,0.00678018662889682,0.00678018662889682,0.00748257049863692,0.00748257049863692,0.007504566498586083,0.007935409951723411,0.00678018662889682,0.006713148395572101,0.00678018662889682,0.007504566498586083,0.006713148395572101,0.00678018662889682,0.0068694342719932385,0.007361301650498538,0.007504566498586083,0.0068694342719932385,0.007854399344961498,0.00748257049863692,0.007504566498586083,0.0068694342719932385
naphtha for industry,0.0029831218917728934,0.0028040711869663027,0.0030976256208288663,0.0028040711869663027,0.0032500670580121725,0.0030976256208288663,0.0029831218917728934,0.0033104066265680567,0.0032500670580121725,0.0030976256208288663,0.0030638853660759817,0.0030976256208288663,0.0028040711869663027,0.0030638853660759817,0.0030638853660759817,0.0028040711869663027,0.0030638853660759817,0.0030638853660759817,0.0029831218917728934,0.0029831218917728934,0.0018585753724938339,0.0022750469406103498,0.0024511082928590617,0.0025877124828376985,0.0029106910977739066,0.0030976256208288663,0.0028752360920382917,0.0030638853660759817,0.0028040711869663027,0.0033104066265680567,0.0030976256208288663,0.0028040711869663027,0.003338344057009698,0.0029831218917728934,0.0030976256208288663,0.0028040711869663027
offwind-float,3.50484348950505,3.6035205179568504,3.7169828209427176,3.790860984827922,3.833001124645566,2.955738167381963,3.1151177356546205,3.2069939664,3.4838425515740856,3.6557858715182334,3.259060577791542,3.453606313882359,3.5337057810640324,3.6202557533169255,3.7746079103171795,2.955725343464829,2.955739517242223,2.9557542480813357,3.305405303129013,3.5854227233486866,2.283651361289973,2.9529643484341945,2.9557395111691416,2.955788541325683,3.1627378271763877,2.729596119564899,2.9557598698642265,2.9557658153892663,2.955763505464509,3.354621970667101,2.9568615398235947,2.9557583407978307,2.955767349922524,2.9557672166211932,3.2957868147686242,3.8769259633988087
shipping methanol,0.005023454949426251,0.004920210958872619,0.004912010219687162,0.004920210958872619,0.005009945730493553,0.004912010219687162,0.005023454949426251,0.005036943335698315,0.005009945730493553,0.004912010219687162,0.0029237941337020125,0.003438407153781575,0.003936168767096438,0.0043856912005522585,0.004629340711693061,0.004920210958872619,0.004872990222838245,0.004872990222838245,0.005023454949426251,0.005023454949426251,0.004912010219687162,0.005009945730493553,0.004872990222838245,0.005066199374796809,0.004872990222838245,0.004912010219687162,0.005066199374796809,0.004872990222838245,0.004920210958872619,0.005036943335698315,0.004912010219687162,0.004920210958872619,0.0051614545966596394,0.005023454949426251,0.004912010219687162,0.004920210958872619
solar-hsat,56.30807093686234,56.617513872853785,57.024053425389035,57.470947847053154,57.67354140765314,52.30802983554725,54.08232554946353,54.23239176520365,55.872021542968724,56.78256574076749,52.26018571351253,53.57340514033949,54.75149909986881,56.20173774872671,57.02146286835347,54.3176448396918,55.1206370854971,56.05556965637881,57.00630505288257,57.48244399422681,36.424810430200914,40.60634858247168,45.73279251726686,51.56049521240989,54.83146841591486,56.76355961819957,56.908112471703916,57.798332891708334,57.62071994618001,57.71429094231835,49.29948720571742,51.47673263195699,53.96540144564211,56.0306550298927,56.936570357336386,57.873624404310426
