,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp50_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp45_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp35_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp25_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp20-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp15_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemItranIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp50_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp45_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp35_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp25_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp15_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIheatIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp50_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp45_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp40_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp35-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp30_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp25-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp20_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp15_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp10_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-pdemIelecIp05_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc
Transmission lines,9.03571104773837,9.033878594580827,9.031380042646589,9.029862044929272,9.028564886075367,9.027552645440737,9.026713238155677,9.026459838045218,9.026263675903222,9.02641674181779,9.043722592386924,9.050312833279866,9.04877946379132,9.044301722238753,9.041392809023176,9.036542817321138,9.03017876127813,9.027192807049653,9.026965589144316,9.025270448743214,9.033240681306925,9.032968527812686,9.03304290464509,9.032065165306141,9.03071388312527,9.029175481043678,9.027862960815213,9.027182455796831,9.026544383626316,9.026508521012815,9.026547818189195
Electricity distribution grid,48.622240003492195,49.04884614034715,49.473772078503984,49.863889429978165,50.14174894168334,50.300361287392825,50.391926359870595,50.43567764939286,50.472092151356776,50.48613509270195,46.35154893338825,47.45857968809939,48.334023556274076,49.05171722684499,49.60174669643916,49.96528307762243,50.201048478425584,50.38424590331018,50.445485296593986,50.466251447394804,49.11799794277641,49.40713914702272,49.643814568539284,49.86101291353674,50.075062114265734,50.24404479025396,50.36335101894786,50.43940784972723,50.48281845957708,50.49272095426145,50.49506317231279
Oil and gas to power/heat,70.4947396632962,70.67528586189579,70.82518274226632,70.99263008687227,71.12831214142881,71.22724495354426,71.29983192275864,71.34104499181589,71.36713027412652,71.4330273976334,64.43746060449071,65.21733470715441,66.09535087057307,67.04774939770626,68.08899254430442,69.21097624960336,70.38706587157996,70.6315188596246,71.05071706834723,71.29109948591963,70.55005273385663,70.66241042873742,70.80020606186403,70.91505862733547,71.0131062657721,71.11842710411776,71.20267959841635,71.29366605110468,71.3525336299642,71.37403433427384,71.37676751210806
Power to liquid,23.339682423964284,23.408194564704928,23.467648458907156,23.52722250382441,23.568308895249714,23.597931172088238,23.61934405781033,23.635142032991396,23.64263047367538,23.643954984109655,21.96011136224883,22.36752123456722,22.690534356677738,22.9866456505314,23.23211861573221,23.409196849818212,23.532241251977496,23.58510338289787,23.624714522943652,23.640967669812216,23.38493836557594,23.434953255800867,23.48002212748459,23.51849240746992,23.54670760821631,23.57725209697169,23.60671238848905,23.631249431420585,23.641204294051498,23.6428886390312,23.644360847501083
Biomass,51.674253325339905,51.64574287830295,51.62712162875559,51.606596298130654,51.59661549297786,51.59112392184555,51.58445472599413,51.58801379123017,51.59443985072647,51.597879076255474,50.93909998329374,51.14218550052475,51.31918395904793,51.43345104071697,51.514376262840436,51.564509592872724,51.58554831693253,51.59940810109755,51.603651615539064,51.59776732069502,51.69535610672588,51.666394887943646,51.65116561506325,51.6353111954261,51.624385799407094,51.60803685454025,51.5980661337843,51.592825946661584,51.5937043695214,51.5979189370701,51.5983297957468
BEV charger,0.012083421327749122,0.01247847752805087,0.01263774594669655,0.01320285558169316,0.013028196989719739,0.013790211863549137,0.013693924093827678,0.013299935968995756,0.013322638952039367,0.013343428120739418,0.013807504832802683,0.013235741140810784,0.013882290944993506,0.013724741324837966,0.01355442850234086,0.013935317824913807,0.013760887018480421,0.013933419483472978,0.014053670068096415,0.013332352051762562,0.013310676881085046,0.013756177771663783,0.013758173772274042,0.01363610990934994,0.013320849424037896,0.013324342667388606,0.013647570778193641,0.013935584816798848,0.013652671391139947,0.013332144502930564,0.014056392136615477
V2G,0.0022319483212536848,0.002151140709907391,0.0021239468829992022,0.002043050785873186,0.0020371187534903926,0.0019650065807629356,0.0019904554219742445,0.0020089682996331376,0.002007296782202427,0.002019678742123339,0.00188971439636171,0.0019179245548842628,0.0018879624782838274,0.001940357160410902,0.0019960366603856985,0.0019339846225257748,0.001990063638715351,0.002000219094161919,0.002022094893389144,0.002008460527891164,0.0019872663810972906,0.0019679957299107704,0.001969720317506381,0.0019551913290897756,0.001997112598588343,0.002000518557421782,0.0019651341807198257,0.00200245303342771,0.0019696139086704894,0.0020081833671074514,0.0020244904252614063
DAC,3.7097448705731493,3.8365003082836497,3.9494321206447225,4.057554934827516,4.1362581851422595,4.189412479249546,4.231651957266587,4.266221002098133,4.281743852369452,4.286323321080603,0.9454105404348476,1.6956222109480885,2.327262511926835,2.9283214590004154,3.430700520534789,3.7960982665127823,4.0596649206327236,4.169733881983252,4.245083132034245,4.277727092365813,3.8118646363301623,3.8888033908329094,3.9632645743805424,4.0319380628769705,4.093228495483009,4.153831071395476,4.210595740680666,4.257951449328104,4.276808849601038,4.284216559304042,4.284845293321943
Power to heat,104.79681984304554,104.67869598222869,104.56213835171513,104.45122681937393,104.35833209064091,104.29173763453224,104.23682927767557,104.20472794334029,104.18842470524847,104.17342514084017,89.88092656710842,94.8766747361047,98.60292101367244,101.06277375394768,102.421081538704,103.17278656793657,103.6900455747729,103.98042162326885,104.09244227988154,104.15340324001868,104.68068818942969,104.60511839462784,104.51251371054803,104.4139980729327,104.37007402657507,104.29710041070308,104.2319368840349,104.18483340259584,104.18029610155531,104.17008792600556,104.16839693706659
Heat storage,21.679970003026366,21.69054026721053,21.744741025785153,21.799242871128033,21.846073871355113,21.878480043219902,21.891440828688307,21.90062381405033,21.90881039430472,21.910367180688258,15.630985953582789,17.208776987750174,18.631656195108725,19.686473819112226,20.470411263177326,21.03819541956175,21.410625259293116,21.675690422033597,21.794112111554252,21.89022105689444,21.71988018886438,21.76132921337852,21.806960023062913,21.83909242026172,21.839682545994865,21.843136060845314,21.871560521991984,21.913703226834876,21.923379281672144,21.92045415364305,21.920645467822258
H2 storage,3.7101087399538355,3.704040419128005,3.7121239209061976,3.7335452318563176,3.7505508788770943,3.75971387729365,3.767855269430551,3.7712587738369234,3.777078458195627,3.7799297587832887,3.384568194359661,3.520747932839064,3.636239548179463,3.7257838451423684,3.7973494306235724,3.8233874256349445,3.8064318764196843,3.8037232861611963,3.7945084599673695,3.7740476944033006,3.6806824399080034,3.6916108597409525,3.709488664032327,3.7309470196894865,3.753817738951386,3.7679460575540293,3.7778881344869,3.7841475130314994,3.783596502892288,3.7811828289863736,3.780971576310723
H2 Electrolysis,100.72036141866796,100.97990525103232,101.17795439115622,101.41392892616695,101.58359781463629,101.68999789032073,101.76973763636983,101.83937274020205,101.87121120664123,101.87351220488941,95.63695213972701,97.2032690006747,98.35963227730626,99.55585536410162,100.46221003668636,101.1145917757835,101.53506829195418,101.70499438636328,101.83545499938685,101.85929113552109,100.83440301933634,101.0372722081115,101.21476392203323,101.3696055787722,101.49169224609086,101.62386428532713,101.74211391932168,101.82951064988963,101.86384589485283,101.87297384781799,101.87237479845244
H2 Fuel Cell,1.1700185622050238e-08,3.47610298436517e-08,1.9804677245348318e-08,7.3996303238627575e-09,9.596535616413425e-09,3.178616274983158e-08,2.241744165412251e-08,4.551017352660593e-08,6.093154228106153e-08,0.00012597111746938055,4.8926449657861186e-08,5.8832094069682916e-08,3.103414914207282e-08,1.2948246780891622e-08,3.628401442322887e-08,1.933447648938126e-08,9.044112238936418e-09,6.509659289348032e-08,2.572660178013233e-08,6.398726323764493e-08,1.3245309289554749e-08,1.612896213278075e-08,1.2397858608967142e-08,1.2318449688236833e-08,6.8639701794758986e-09,1.8227925014061518e-14,2.3801529551026834e-08,9.681819459644592e-09,9.47631451611187e-09,3.598550300248748e-08,2.1854978257204262e-06
Pumped hydro storage,10.020484265690817,10.02051947302264,10.020469133440695,10.020486592626728,10.020483464876213,10.020519705969539,10.020471157286993,10.020525750245938,10.020526204383374,10.020532064647282,10.020504073477483,10.020510941315319,10.02051456816473,10.02048470977789,10.020468492389435,10.020519300084999,10.020469645902967,10.020530271419535,10.020521228238318,10.020522323302751,10.020516358049926,10.020493214405128,10.02046728551293,10.020493934015906,10.020518990000351,10.020520305092568,10.020497412831247,10.020521175518455,10.020498324152923,10.020521830007109,10.020521866068977
Hydroelectricity,18.347353682550413,18.347343407201414,18.34723975587682,18.347330190794203,18.347353866824722,18.34734342184868,18.34723993732785,18.34717835913344,18.34717819718274,18.34734778390009,18.347343410936947,18.347343377000456,18.347343422483174,18.34733019905348,18.34723978561222,18.347343435092608,18.347239773299354,18.347348495530316,18.347343258944296,18.347343414749265,18.347343398498186,18.347348326643807,18.347239941400886,18.347348349332744,18.347343436936214,18.34734341717949,18.347348357062867,18.347343417605867,18.34734834689917,18.34734342180836,18.347343261176555
Run of river,14.259093268741,14.259089910601347,14.259084818639597,14.259089929815241,14.259093566786472,14.259089861433717,14.259097577797121,14.259084935856004,14.259093565236771,14.259045882883912,14.259089997330856,14.25908098059179,14.259080961263788,14.259089903710882,14.259084929353666,14.259089908372427,14.25909363682132,14.259089901210784,14.259080150338324,14.259080154604328,14.25908016706582,14.259089959518302,14.259091169952569,14.259089933516613,14.259080159296815,14.25908102049566,14.259089907391955,14.259089902618896,14.25908992154077,14.25908101009455,14.259079506557246
Nuclear,89.38717931142551,89.3823981264481,89.37932812060227,89.374910337149,89.37262282186134,89.37126348335939,89.3716987692855,89.37108583065415,89.36970409969715,89.36927269603913,89.49570691584,89.43662841548715,89.39868966945903,89.37836078483436,89.37123088110509,89.3667558293875,89.36564004636006,89.36983748775408,89.36997080543115,89.36834688467222,89.3768591223483,89.37653564367021,89.37790475895659,89.38057405256104,89.37697741565036,89.37237940907761,89.37003593679344,89.3693642173365,89.36889132745092,89.36908118780744,89.36925944026896
Onshore wind,160.95870879727855,161.8499242903632,162.7437267093167,163.5821769322413,164.28111541205143,164.66950907285417,164.91010573206307,165.04466206731627,165.14145222895377,165.18594087046404,154.18657812893508,157.00874876540368,159.25673681077035,161.35421669117986,162.92360989220347,164.09691511089457,164.466976541594,164.88762130631505,165.0334555640635,165.1329936291436,161.82910516373397,162.52712293926766,163.13204962758078,163.64236930608647,164.21029006019424,164.6094027132551,164.89409315075298,165.06648293539544,165.16026504383396,165.20939445172894,165.20625419681176
Offshore wind,54.67187570614027,54.98250305374083,55.166739235810326,55.34821837844391,55.41630449254545,55.473192545421746,55.49670805335881,55.525936725791595,55.5151575250881,55.51547248084121,51.073130576864116,51.58102820636487,52.253851043137985,53.137661852518065,54.017302634489766,54.578772991340216,55.5264461595221,55.58008960251854,55.607973102693414,55.535377301268525,54.666287745540274,54.95884789298918,55.11721429277263,55.23925401060505,55.28613765757322,55.38463497368112,55.44261662190593,55.50142980747384,55.52766261571398,55.51276197209436,55.509583245331044
Home battery storage,8.07316790019256e-08,2.3341428125033928e-07,1.2968476375571067e-07,4.8804665558661985e-08,6.151126883977524e-08,2.036101066562925e-07,1.4181821642405306e-07,2.8718880062270946e-07,3.790554626898042e-07,0.0007783809323604861,2.977861728532311e-07,3.8100360467811026e-07,2.049084700030756e-07,8.275149190792324e-08,2.4083980862312505e-07,1.28672177934719e-07,6.035768751105004e-08,4.003033666256553e-07,1.644272218893609e-07,3.885796566577129e-07,8.42445900869845e-08,1.021566891738887e-07,8.336814680978512e-08,8.277676009661327e-08,4.606918390804444e-08,1.1841559700232414e-13,1.5905691708537582e-07,6.270389444366914e-08,6.308952454533032e-08,2.284481390929468e-07,1.3723625998738283e-05
Solar thermal,2.9716526066424044e-08,8.110301459366196e-08,4.0849110241480225e-08,1.6132554625496843e-08,2.10949397089951e-08,7.452621099859968e-08,4.62747577009137e-08,1.0590560311056357e-07,1.3062341310640765e-07,0.00031064232557656253,1.127534753299318e-07,1.279365810958061e-07,7.355565436112555e-08,3.1452934170728976e-08,9.15759751046585e-08,5.053582809856157e-08,2.0503852773615703e-08,1.4346764301558152e-07,5.630146718792614e-08,1.4006685799349965e-07,2.8445346837694904e-08,3.734241928423373e-08,2.807487308701696e-08,2.790474364167712e-08,1.5538693212211263e-08,4.1869676131524877e-14,5.395109814723336e-08,2.528557564525561e-08,2.1626391014257156e-08,8.753318238743405e-08,5.3580088678708425e-06
Solar utility,24.371420586426005,24.884465732955842,25.553303663309862,25.9660634015767,26.292434893523957,26.474483301807457,26.585313002868553,26.671141634823478,26.720464373412852,26.731408512690766,23.702053185804576,24.841312162973114,25.547540559646176,26.30963788899868,26.93430879812337,27.127318497212006,26.943230347693788,26.861477881304253,26.80406219398617,26.75135197497941,24.897708216530898,25.185441907197927,25.4354890332629,25.7062443847018,25.912539256800713,26.214207994179233,26.42212674352222,26.578962566358687,26.68271062370558,26.717481258304982,26.731472267948188
Solar rooftop,28.39162882865211,28.734874656673046,29.13129256069241,29.41661877310236,29.635702163172393,29.796516794586744,29.863085408741604,29.90699332080864,29.91580814373118,29.945642733184208,29.43869440058138,29.69370677632186,30.226802793562026,30.362512999991004,30.212559579133586,30.19189483360368,30.189565870024598,30.011373138423245,29.9699764008369,29.985637433304763,29.17757113594834,29.268095105712156,29.34422994957224,29.4668822046171,29.566866822198854,29.77985917931853,29.918142837239117,29.984612378962318,29.940293275659954,29.933380801415247,29.934870696992107
Battery storage,15.724027334012138,15.849978222360297,15.962574351265909,16.014118569203326,16.084624835594767,16.123845073650674,16.151625165990843,16.1718217475863,16.17370267064127,16.1765912956515,16.537710563922147,16.71373820419593,16.80008462006727,16.720147659092063,16.638878175115543,16.527566626629678,16.354876758009237,16.242402336371256,16.22517258759637,16.17431789377824,15.500190073538672,15.674770543249462,15.828024926340602,15.93657642430986,15.999072208597191,16.04909123925556,16.09005462915151,16.126277810692955,16.151048535366215,16.161414457817028,16.172065713337382
co2 sequestered,2.0001792734694095,2.000038438422355,1.999870234749447,1.9999738226923398,2.0000336665828335,1.9997976718993713,2.000287544133647,1.9997132349543096,2.000009439343948,1.9997132359267469,2.0000384384223278,1.9998421576218859,2.0000660249921025,1.999973822692374,1.9998702347495747,1.999797671899251,2.0000088593619316,1.9999095157548676,2.000179273469557,2.000033666583093,2.000033666582856,2.0002875441335903,2.0000916923152174,2.000064043922993,2.0000336665828056,1.9998421576215455,2.000064043923045,2.0000384384220906,2.000064043922981,1.9998421576218217,2.000179273482133
industry methanol,8.56742299533952e-05,8.837132775911236e-05,9.099253472717542e-05,8.980434618960984e-05,8.979712579890487e-05,8.933064305740611e-05,8.980434618960984e-05,8.979712579890487e-05,8.979712579890487e-05,8.979712579890487e-05,8.837132775911236e-05,8.979712579890487e-05,8.933064305740611e-05,8.980434618960984e-05,9.099253472717542e-05,8.933064305740611e-05,9.168359523839473e-05,8.837132775911236e-05,8.56742299533952e-05,8.979712579890487e-05,8.979712579890487e-05,8.980434618960984e-05,8.980434618960984e-05,8.832274749423155e-05,8.979712579890487e-05,8.979712579890487e-05,8.832274749423155e-05,8.837132775911236e-05,8.832274749423155e-05,8.979712579890487e-05,8.56742299533952e-05
kerosene for aviation,0.0068694342719932385,0.007935409951723411,0.006713148395572101,0.007504566498586083,0.00678018662889682,0.00748257049863692,0.007504566498586083,0.00678018662889682,0.00678018662889682,0.00678018662889682,0.007935409951723411,0.00678018662889682,0.00748257049863692,0.007504566498586083,0.006713148395572101,0.00748257049863692,0.007854399344961498,0.007935409951723411,0.0068694342719932385,0.00678018662889682,0.00678018662889682,0.007504566498586083,0.007504566498586083,0.007361301650498538,0.00678018662889682,0.00678018662889682,0.007361301650498538,0.007935409951723411,0.007361301650498538,0.00678018662889682,0.0068694342719932385
naphtha for industry,0.0028040711869663027,0.0032500670580121725,0.0028752360920382917,0.0030976256208288663,0.0030638853660759817,0.0029831218917728934,0.0030976256208288663,0.0030638853660759817,0.0030638853660759817,0.0030638853660759817,0.0032500670580121725,0.0030638853660759817,0.0029831218917728934,0.0030976256208288663,0.0028752360920382917,0.0029831218917728934,0.003338344057009698,0.0032500670580121725,0.0028040711869663027,0.0030638853660759817,0.0030638853660759817,0.0030976256208288663,0.0030976256208288663,0.0033104066265680567,0.0030638853660759817,0.0030638853660759817,0.0033104066265680567,0.0032500670580121725,0.0033104066265680567,0.0030638853660759817,0.0028040711869663027
offwind-float,3.055872359754342,3.1969254350622855,3.41307086338492,3.599297764343079,3.704718036958509,3.7643151460832733,3.829886362633928,3.856916624637483,3.8832766336693867,3.8741413999747945,1.8526474556767587,2.289595979751878,2.955735835199687,2.955760474550674,2.95575390340334,2.9557615095260332,2.9825137260260153,3.4113667152255074,3.6260430277125004,3.9097877226541025,2.9919618700210178,3.1363040637411954,3.3498245243589344,3.5586386688656497,3.680995468491662,3.746194248245765,3.8125760603807493,3.8646078070589103,3.850752693162881,3.87663944827768,3.8769259633988087
shipping methanol,0.004920210958872619,0.005009945730493553,0.005066199374796809,0.004912010219687162,0.004872990222838245,0.005023454949426251,0.004912010219687162,0.004872990222838245,0.004872990222838245,0.004872990222838245,0.005009945730493553,0.004872990222838245,0.005023454949426251,0.004912010219687162,0.005066199374796809,0.005023454949426251,0.0051614545966596394,0.005009945730493553,0.004920210958872619,0.004872990222838245,0.004872990222838245,0.004912010219687162,0.004912010219687162,0.005036943335698315,0.004872990222838245,0.004872990222838245,0.005036943335698315,0.005009945730493553,0.005036943335698315,0.004872990222838245,0.004920210958872619
solar-hsat,56.86587434141348,57.22353168878112,57.38727611302368,57.649287542600334,57.756721197017896,57.85101581984495,57.860210022564644,57.86537582737302,57.86659643087153,57.88019300606397,57.105465115982064,57.374700072793964,57.29647665111296,57.130329618353926,57.12627816408848,57.30746369154037,57.60775690399389,57.759722217674486,57.86917808251272,57.835390775202725,57.222321731400704,57.498344730697546,57.75345765535854,57.89659209280876,58.08228875468519,58.021873113486194,57.98608184547806,57.917033575375754,57.90684159539831,57.87974110603224,57.873624404310426
