,elec-Base,elec-p1000,elec-p950,elec-p850,elec-p800,elec-p700,elec-p600,elec-p500,elec-p400,elec-p350,elec-p300,elec-p250,elec-p200,heat-Base,heat-p1000,heat-p950,heat-p850,heat-p800,heat-p700,heat-p600,heat-p500,heat-p400,heat-p350,heat-p300,heat-p250,heat-p200
AL0 0,,0.007169617919051541,6.214312977894029e-09,2.0407212237635888e-10,0.006311255008513566,0.0035430151872440172,0.00021208239293934355,0.004089912495188651,0.05390172152150299,2103.279459909342,2345.598491906025,5085.6983770256775,95006.51468429234,,0.1228214167808537,0.00021810932679815356,0.0022621372830401204,0.08166097780551272,0.13136227819083082,311.18804128558315,536.9744318158791,1894.6249340271718,4558.3972988339665,7304.1686494022615,21336.961843086712,45743.429339267015
AT0 0,,0.007334972666555609,6.5091647236677914e-09,2.3513354597949974e-10,82.08925190808772,0.3434951390698497,7899.975205302728,14278.244324388268,9.284621791753825,17688.018150392985,0.07949464122615918,128634.31231546891,76008.23268494122,,0.1264457070548466,0.00022061397077437816,0.0023020609566027773,93.05691012389902,3841.1995473379015,16805.228715363075,29087.30362448859,63577.79717293671,107214.08314459978,201626.65295561703,413869.54843053734,1300662.066452818
BA0 0,,0.007278334126013492,6.248358972153722e-09,2.164930127331655e-10,0.006495835876801222,0.003633862850297499,0.0002197865431885747,0.004595100723454438,4174.087663087034,9078.45144166558,21326.373996265153,55044.191683335426,192711.74929392105,,0.12236828084656805,0.00021955466626896443,0.002267422956806697,41.62420285588425,866.9042515077958,2729.880300062454,6159.12703965595,12817.02072385613,20145.58317017463,36735.45225480571,74832.5041107885,200154.49469691847
BE0 0,,6746.438469808745,11146.886089271813,14956.9229194311,16613.155123362776,11532.891912922552,63779.49797038997,67243.39669063559,204987.07855557065,288080.1358741031,288725.1321224177,514782.54616709333,1594287.625773996,,14666.932494840234,17057.787493731797,62761.65553447577,83002.64900765641,125005.24645138018,153558.10159099166,175292.13019741082,234304.91599820022,294833.4216853728,426463.286590646,931095.9223073479,2462822.7319942294
BG0 0,,140.53096202915182,1574.9200848293613,9573.59740546001,11117.57714117664,14078.316548633216,15649.311874586918,11986.15620323714,30419.44439919154,46146.10223896702,76456.97634619434,134311.9698679012,231320.76129919023,,4698.169077595967,6057.094772535254,11782.85662412286,14712.631535906938,18936.050500764693,25869.48346080183,36472.15008689276,56841.99943909558,73744.65230318203,105137.33356829933,177323.17496892344,401296.03134005977
CH0 0,,0.0072767629826030154,6.55013883034665e-09,2.2013453523518408e-10,0.007102301509739008,0.0035565732687510856,0.00020929868565777314,0.003971087965353649,67.31290830255413,8.632676614318397e-08,13478.03051544687,34502.47365770958,82021.418706405,,1009.324678834262,1001.281357769986,1082.8992710577375,1060.3481537872908,1935.858868539869,11543.154392107976,30790.838090609574,62074.02259038636,86089.43573265825,147666.61569203727,315063.15291052015,970179.6499488151
CZ0 0,,9032.877356404748,16378.850742562629,37966.71143290314,14719.049335038326,16902.16668629269,26090.136470008252,31352.50947322291,71316.02030898193,239241.4770588263,386204.8763805093,1594203.113670515,2779288.1100899656,,17878.995546974398,20717.81591820778,28297.54353265819,30580.791318443014,42669.043692101775,63191.1248373698,82198.75296718029,130101.78903816245,159939.12209039266,251405.35257282702,667939.5454688118,1968209.8116940213
DE0 0,,6496.73381499685,4343.972420553523,129866.95817845792,239504.29605635238,505559.1874363396,877768.3771632415,1498633.1060087918,2747146.2035015174,4037331.674336973,7437282.324837797,12903029.331377722,24788831.20786872,,64805.49891917351,134631.13695459673,218790.1960261101,275725.34649584227,447025.68061483675,527736.5644942053,717297.695246923,1103123.6007191138,1441926.801810771,2554374.807918853,6474449.320818555,15871073.26596035
DK0 0,,3456.1806252327,25601.058591609566,9395.611922687847,169080.306563204,192872.84789442417,214147.53309301773,14091.991554176499,16514.20029929592,402079.2335398309,440624.0548340403,606724.1607478925,777167.0028998817,,22556.189503363014,25451.09935043659,71432.6734699115,80824.52305558861,101046.76722704296,112511.03057312217,120942.07818474564,165952.48176439464,181992.26232689022,236192.06759049193,349411.2872045442,491958.6760899504
DK1 0,,2019.555631988194,7844.303507489861,3934.2983478001047,13127.11994757406,47383.69527617116,17487.43092823232,9150.215685917,11402.432898522653,13215.006119954634,101279.19488905364,130256.81227851809,28705.893781514827,,7778.757225717609,14319.312227908686,20402.846439405086,23167.102344661213,34016.800725884685,39993.464890887786,48708.43407683242,77364.36985799369,90483.82459044154,112535.37903028801,162799.16213686403,265155.137728961
EE2 0,,14.223596926928247,226.24664053236418,5.301451817779288e-07,247.5397445881529,929.6866725420285,661.2975409785817,15.825863280556348,211.66676124875335,152148.5062577398,57111.24321798282,164887.42403164593,226344.82682974535,,1810.5929085836453,2617.1337519719327,4840.596411161813,6489.742416368956,9442.205646056529,13715.95096446775,17499.280033221206,28706.380466299495,41346.174372363064,73949.04460874226,124456.10965118346,287064.9816283279
ES0 0,,0.007229914000152276,6.789892432851902e-09,2.2227094089025634e-10,0.007822267873548663,0.00333673152080854,0.000193950322019917,0.0035657544777416704,5419.787441408443,8105.323728747668,12333.641937630995,72065.79707934467,120606.04550088522,,0.11675744978438832,0.00021434818074027328,0.002182888036797921,0.07830936408327405,0.12317235781850316,1021.6780491060712,7396.564008615607,16016.142245279392,24823.728258418065,44178.35943163238,104333.83919941966,212227.2309644872
ES3 0,,1260.3660977453756,1389.7168967833384,2220.2022482860452,3926.6166664203465,5613.131083842655,6786.305373167641,7771.884965713199,10695.504494945664,12118.058253301406,21744.998573565314,30016.881243647033,54550.75381017367,,1901.8525413090056,2024.4907152564201,2638.45551810226,2889.4983861452406,3211.885011254752,3606.634050166271,6045.752062420505,8368.531769496205,10769.521708061853,15186.621262094603,18156.941052715043,31469.949334281202
FI1 0,,5698.206933774407,10494.268539813776,19728.997788352306,21691.062650362433,54325.73998512471,96356.53659348287,40195.14245035029,164882.2769920965,205323.3478472736,208965.54583803721,280659.5924611784,571146.944283084,,11902.8695532785,16469.128409809444,26959.66282221421,29590.880203216653,39963.57210428895,55061.9942952072,87156.13370800063,127803.66763455632,182682.01143837176,300169.86898205435,434912.4725238274,806467.7903730571
FR0 0,,0.00741854521373048,4.094801005777984e-07,4738.805956493188,5142.320471418023,867.7336011197726,0.027910339932092222,1250.8277283246787,4065.7880829152014,19079.628301074783,65481.64750632089,589314.0896118631,4652627.89753493,,55489.739711785165,66254.37115270708,71998.34540337147,73669.93000946874,86409.92127490998,103303.56610003111,209579.1254178525,364430.3871734347,567651.5217671905,1010351.7637279427,2505098.6515114326,5933176.1448662225
GB4 0,,26255.743596531564,35647.03442484277,51561.64929616091,60409.62974176143,80753.16135320341,137636.8065849489,182927.84251120366,240780.36194253646,275152.0894068053,361519.78937142825,478312.14201178245,844733.8194761197,,49894.24674723428,64570.038833850675,97904.00451137929,147893.15526587455,239800.49018602198,331574.5231861008,429433.8896709703,562778.3768341152,597950.9069250666,721505.6266523385,1171735.424815554,2135983.1040632953
GB5 0,,16.280448222571238,6.454791073344401e-06,2.391789858381558e-06,49.415761360156324,6030.66620498762,0.16819298990170067,918.7563751105565,1347.9211725927664,8753.107720314794,11240.982914566883,5151.950664360442,11219.704910981322,,0.1265642208281484,0.00021619189317507865,0.0021980130344042897,0.08622613465744325,215.40429265376594,1539.222710511853,1671.6195493920222,5702.482992968174,7229.97249144711,11814.544746127718,26772.998262785226,49799.17575700719
GR0 0,,3951.007749520281,6305.00509371657,12904.601273250899,13621.53144109692,14519.746939570565,16180.386624005834,20178.54150169156,26175.395586424136,30411.257581382408,34708.91659579953,151784.9491458825,496759.4558442724,,17527.367616646156,18600.961786357315,22446.415344200344,23395.51952754435,26381.967247376146,29871.89707093371,34395.98756529247,50056.49562723966,66145.53260282379,110710.11993018168,192160.37628552516,381829.88522245816
HR0 0,,0.0073223163972643375,6.311033008662635e-09,2.2074826007689281e-10,0.0066636338359293236,0.00364306918612236,0.0002184970037831819,214.95731928629166,273.56336093053125,820.0011727607642,1665.4642785832552,56849.36906339598,44503.52346221616,,335.5256077491101,478.04951367673533,781.7952912629817,995.6287682108181,3384.204641503909,8698.170722652394,13531.107102601614,23527.847949074825,27566.835704845536,50606.86298020427,147042.19303395186,486807.679323922
HU0 0,,0.007456029730030182,6.5373295280232315e-09,10050.587295075768,12436.391240455727,5972.850940927082,3822.342924497159,2362.617935622162,11373.589927091934,79356.66797147352,244565.8104720109,685883.6369374463,1771908.8362414457,,0.12468747846118629,0.00021928075568917275,0.002254026404611954,0.08285057394915467,843.5549734604854,2097.673179972713,6167.978282817743,24895.876162645523,40514.25255588233,87614.36035856826,380225.55516219453,1411086.4925821803
IE5 0,,21531.541847897774,27195.650673134216,29510.417791138378,30676.628639584465,28222.957437043304,68152.89589602783,95703.29283544685,155282.63970186427,188847.2775199693,223122.60406594188,400500.37790934026,641925.7487637374,,574.5026177277292,564.7686207594683,2684.4044640428383,9320.201840018806,11131.104368659408,15496.149092720967,19764.480442884367,75120.96023919835,90310.35618255462,113737.80045055744,224535.57156698807,309191.26971838425
IT0 0,,0.007364014783604868,6.645077741121098e-09,2.2832568828857234e-10,0.007350698390225056,0.0034679152250402185,0.00020375436416167385,0.0038116952210884222,0.017585446962099124,7.158112919756157e-10,3131.79935970037,589470.1999089742,3606813.165586904,,0.1199793333383054,284.4074284758592,6029.444730091265,15724.996869987335,27059.80202134938,36684.1496474474,44674.48398217272,149714.02836160414,260045.43738691567,687598.9529268243,1986876.251100807,4781687.136045717
IT6 0,,6130.302956413255,6453.162281280537,8569.131547319157,9739.805473294047,12079.958595840088,20282.960614913907,28157.030752126808,40129.45930196577,48312.62441309346,66528.2453959258,288357.7427807891,818042.6899704731,,7985.37019950403,9662.973570114296,15509.034645161966,17275.76693732392,22137.668942631022,31620.877336078167,38050.51623516589,53627.46031271979,81334.64096908136,144934.66002766194,259353.77980010165,411136.00839061005
LT2 0,,9670.889107037861,9.886216103734239e-06,25544.96809941106,301.2419101753575,13.521840276741614,52318.59813461179,1826.0780854390105,112647.09344512559,63011.68157489297,323059.2583254187,35037.45296305184,880251.4998670105,,7253.486270101388,7508.356193279691,8575.936689723467,9135.146205300865,12332.908338855934,18661.31864340544,32090.961309322665,48108.02193352541,63911.208640778605,108253.38784848254,232962.64387054223,425156.4038487768
LU0 0,,0.008098626453989045,431.0411868569738,2.1661321078713732e-07,16.58137514781717,4.098230134087937,14387.221198895017,4.328887616146451,400.401864640501,2.3249077391756164e-06,451.0270541697275,95936.33681659566,2363.4655579634477,,145.85453533300935,202.44330498001835,2622.3318233307614,3391.629821214603,4607.276828311437,5680.0220316533705,6433.536604056152,8766.24517785358,12125.57070289932,20741.260156816505,62141.11686351746,144812.01881502272
LV2 0,,403.891799060927,11759.503528884665,6.59888366585538e-07,27381.75635720615,43109.27192091642,116.33963968726442,63944.86981467054,8796.041801722822,1085.1289117278109,4810.702641442208,503701.3262001484,73761.78200996833,,416.80108949799273,865.984590160471,3427.5135291391744,6864.427968270651,12972.39834070138,21779.853032763865,26627.958035744676,42176.64481020678,59499.15394443448,118755.37497611708,194430.27696423265,418282.0571130356
ME0 0,,0.007220839715298959,6.620913488528827e-09,2.1510834953813775e-10,0.0076400214345105815,0.003583411525721516,0.0002185140724037367,0.0042165492310724875,279.1252200929111,1979.5395082853338,4075.24185453655,14770.608793631845,44998.91123178369,,0.11773455724604798,0.0002193079617913952,0.0022809776610066713,0.08154219918476072,0.1405613367609807,279.375494540221,543.0625024239863,1258.9775990472438,2016.1412915264204,3797.825278083985,8842.646453043797,23485.727642930557
MK0 0,,0.0072394283265384135,6.242513580398247e-09,2.3753824508295663e-10,0.00890296218067201,819.9059965145651,1373.9610393477956,2320.1632587907034,5740.2671347994965,14037.200275426063,41828.62771660568,102831.57543698435,147787.6463346181,,387.7457538354709,482.2492329053755,700.8351898185142,842.1279029781147,1786.6463517720413,3805.8404095450182,6235.766839666076,8558.029912168484,12037.610965247775,19951.407809371747,46698.04605459955,98471.10863745122
NL0 0,,89592.82762450291,127201.52940963967,285223.18050338683,328392.85094795143,460066.36454415217,467010.38538227044,734789.995308802,874769.2330595658,1094000.186033328,1384947.95969252,2867662.671931315,4930356.984409215,,79714.93763745208,98404.32670068946,167990.98017667214,210905.93226617202,254448.52975694693,311616.32893746736,363595.6108697958,502363.7461221217,621523.8139494109,897342.1698941356,1824290.138396435,3219816.2673414163
NO1 0,,0.007373006720388065,6.868938609632451e-09,2.2760686212021433e-10,0.00786905815190918,0.0034148621592262575,0.00019832816709779995,0.00361920735989011,0.0158553909660665,5.920787351293233e-10,0.05551311654467356,0.18256840739524965,2024.495722203288,,1346.3762593247088,1289.3141659676432,1345.017332498606,1970.0428576221889,2962.0166918126306,4392.555661290352,5899.576485173461,8415.38527247345,10194.454766048964,11605.502323113134,16224.644854050668,30146.180016339636
PL0 0,,211206.71059408606,250628.97749417566,283720.03406247706,380856.524278188,546531.4123214625,591246.1428123759,667434.4703413132,1127523.0788799832,1305537.6207616257,3159755.8145666774,5742770.580296061,9000414.370666832,,196877.6217490416,205651.13990253658,220288.48552576645,224891.78733411198,246385.4535903065,313276.95190543786,449270.00820938626,578867.4169484915,753818.490024883,1226326.221505549,2763673.2956831004,6213115.40579124
PT0 0,,0.007044642170882769,6.073305498578909e-09,2.1793819629486243e-10,0.006826211471363531,0.003327525686323287,0.00019320806460829338,0.0035283966196982667,0.015251368019950326,5.546369286791702e-10,0.04246519260110747,0.0003017604946252959,0.012268619491053517,,0.12280196728418694,0.0002137313563760605,0.0022260387536547225,0.0799640956567915,0.1243717530618991,0.24985017888818795,0.06763313892133183,0.07467441458524378,0.002330602378679921,122.09503208607013,447.0296634715974,2636.612632527339
RO0 0,,47566.83825291913,50852.40156797634,52397.093406463086,52935.41759313197,58561.69487153127,78798.60817178956,117554.80051638291,184226.3754751025,233235.3239947155,276711.7896106177,641827.6878544879,1171140.6112048547,,49664.146111138354,56473.75392487971,61275.16210332785,75212.22731344393,96415.72019755864,119513.5685307781,161190.28926022368,244358.8541484509,303159.28130596015,402130.0322229992,697302.187145452,1501993.5413038475
RS0 0,,0.0074387186408553605,6.513113832049473e-09,1.19971486633543e-09,2062.0884399177894,3522.0714854940584,5968.297451353241,8652.59551368122,22227.87221909588,34126.778668940824,129797.50709883907,150732.90591952734,1241717.2913236506,,352.7738196632716,1099.7860115412454,2805.6563607898643,3398.9282585849683,7267.699366152468,18208.977401175336,22818.582881495488,34606.34339989024,44002.66779239634,74519.16256660082,194718.19191065733,481024.25694856216
SE1 0,,522.2679916544361,8.489167846529643e-06,56079.6803544089,52408.74082723441,3588.4832829408615,3341.4845482323403,84486.78817961179,22160.303800201415,30405.32260055646,48972.15286285707,107367.1579612312,400764.12307532836,,39299.611206118694,56752.64634768759,73682.96254952156,77365.70250059396,97153.2194258523,105489.25100598964,121970.12579389455,156905.33507284406,209965.23411409615,266613.6368846963,396247.5135316891,630120.429662327
SI0 0,,0.007412638124782375,6.422374369511773e-09,761.0800702704145,4453.236414797583,7383.97968210783,15072.609183329549,19741.427845504088,24929.41213698203,25385.434132437586,64530.7699159413,180569.9776439741,636493.6690729522,,0.12257990925846615,0.00022653581415894153,1094.2127226126663,1506.7911293573413,2104.849796048501,2768.302654938407,4490.444077462513,10546.929431422264,17055.55086604782,39780.11847442006,108669.44938082226,263633.6728273304
SK0 0,,19150.950249801925,30931.283470718437,51152.80010220937,30755.902737231863,14143.616727783512,39684.25268325573,70582.553316677,55616.1517101269,188259.25138243157,129315.9799109856,429173.628411163,827408.3991164413,,9563.979806644114,9905.642157873084,12262.965242128554,13168.08565850648,16234.522832410476,22211.267157142953,32275.95717723368,47755.4117817395,56203.19671084803,87726.33255367645,272412.43636856944,701770.594302424
